"year","group","flow","spill","temp"
1996,"srsteelhead",27.8853532535739,1.27158049739761,4.37715974659099
1996,"ucchinook",167.403485221675,38.2941527093596,10.0601395730706
1996,"ucsteelhead",123.610850200462,15.1879250394849,17.5459703559713
1996,"sockeye",48.7276666666667,0.222333333333333,11.8836666666667
1997,"srchinook",180.292951999188,67.6826754617414,11.332366044246
1997,"fallchinook",148.083206188443,49.3517062581959,13.6744140788482
1997,"srsteelhead",40.9498986824647,0.867910496054377,16.5596731301939
1997,"ucchinook",267.158137240356,146.476004451039,10.5048672106825
1997,"ucsteelhead",132.298157508389,17.1015093330537,18.5808861157718
1997,"sockeye",59.1201818181818,1.30690909090909,19.6214545454545
1998,"srchinook",110.577250931405,28.5220916063993,11.1653000219154
1998,"fallchinook",99.4874269776876,21.8503050894339,14.7325776323068
1998,"srsteelhead",27.8848264715276,0.462639154644042,15.5038301928711
1998,"ucchinook",147.03974379562,82.7348321167883,5.90871934306569
1998,"ucsteelhead",92.483672091828,11.4082999828679,16.4548754497173
1998,"sockeye",55.379,3.6085,21.019
1999,"srchinook",85.7640405131668,31.9950931802836,11.7139480081026
1999,"fallchinook",84.8199511784512,22.7809843304843,16.1656193991194
1999,"srsteelhead",27.2011498857066,0.546335000672314,16.8562228855721
1999,"ucchinook",149.436005366041,95.5813177462629,7.3669624377156
1999,"ucsteelhead",136.204627159599,31.8416255889815,12.9931310861423
1999,"sockeye",50.6411428571429,0,19.5224285714286
2000,"srchinook",85.6620462420839,21.556432429203,11.5337102999164
2000,"fallchinook",72.5986778892172,19.2543978109784,14.1991533147447
2000,"srsteelhead",24.1983489785143,0.424080779246347,16.962649195966
2000,"ucchinook",179.194593649219,94.8474675432068,0.642847597783842
2000,"ucsteelhead",104.662485900994,29.5197711932683,17.8988643809865
2000,"sockeye",38.0804113712375,8.69565217391304e-05,19.8267959866221
2001,"srchinook",47.7977726114336,0.000277749461534667,11.3939611071834
2001,"fallchinook",42.0534962887233,0.00520413422217243,15.0422063329785
2001,"srsteelhead",16.3635038428141,0.0330829727918101,17.3916731818043
2001,"ucchinook",65.2770023849394,24.678438625869,8.89160562236769
2001,"ucsteelhead",68.9459284498582,3.34643447355248,12.3277437009845
2001,"sockeye",26.0442777777778,0,20.7168611111111
2002,"srchinook",73.261780912722,24.5187860400555,10.6519041670208
2002,"fallchinook",73.8117405147655,24.4331797556719,13.9357972269173
2002,"srsteelhead",22.4966522160507,1.04077946010195,16.4060879060093
2002,"ucchinook",137.927193025291,66.888626802414,8.37679200257981
2002,"ucsteelhead",117.818758341625,34.9749030182421,14.3666016583748
2002,"sockeye",47.1185090909091,7.82143636363636,18.872
2003,"srchinook",73.6000896341867,21.3981409891733,9.85799980154793
2003,"fallchinook",70.9673232583276,15.9694616684681,15.7083079689496
2003,"srsteelhead",21.4233141808682,0.473676254891434,16.9000995334112
2003,"ucchinook",124.867283210816,39.4463277106852,8.6451021265424
2003,"ucsteelhead",83.3101952114645,19.0490146801818,18.4780312245136
2003,"sockeye",45.618,4.23972727272727,19.6002727272727
2004,"srchinook",55.6998525670783,0.904362826107139,11.7118214882555
2004,"fallchinook",65.001576373491,3.80504313459801,15.1383558758315
2004,"srsteelhead",24.5433339131686,0.956340230321024,16.5936578143699
2004,"ucchinook",110.977845109475,51.2776986327565,10.0102356821876
2004,"ucsteelhead",85.146180790649,16.0124612118873,16.815753046259
2004,"sockeye",38.915017699115,0,20.3092743362832
2005,"srchinook",93.8638778930567,14.1564444333599,11.4886056464485
2005,"fallchinook",50.0666349886021,6.18913896247921,15.7983363317109
2005,"srsteelhead",18.0622508360989,0.61546381184083,15.9892278682526
2005,"ucchinook",112.69829589325,46.6687912942091,3.25095439823811
2005,"ucsteelhead",90.6181064785119,19.9146346215523,2.77434822001283
2005,"sockeye",45.9537222222222,14.3530555555556,17.2814444444444
2006,"srchinook",151.130211566867,71.1529387569594,11.7847680945347
2006,"fallchinook",79.0569648847725,26.6061442167445,14.7361867342474
2006,"srsteelhead",24.3342584063401,1.43929410032125,3.87788893835921
2006,"ucchinook",130.907303599374,13.9356459746131,12.2193854981742
2006,"ucsteelhead",86.8078838616715,5.45519692603266,19.1501902977906
2006,"sockeye",40.0605882352941,14.8014705882353,15.9727058823529
2007,"srchinook",85.3506921301385,18.766524291053,11.416081556386
2007,"fallchinook",42.806014791681,14.3103994783444,15.2890674377102
2007,"srsteelhead",20.95296078853,1.02258019694277,5.95565421175459
2007,"ucchinook",135.356225975805,10.932618123716,7.17266194932664
2007,"ucsteelhead",86.6094600237092,7.4649894625922,13.914533719705
2007,"sockeye",32.6728490566038,17.3650377358491,19.1145660377358
2008,"srchinook",113.634310771993,48.5298407540395,9.94296798324357
2008,"fallchinook",100.089255843844,40.6896292425248,13.428299430799
2008,"srsteelhead",24.2609504463284,2.40751313085968,10.8445925145755
